ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close,stage_variant,stage_classification,stage_display
ITI.NS,ITI Limited,Telecommunication,Unknown,False,Cash,Stage 4,watchlist,34.91,0.35,-2.02,-8.45,-11.18,276.1,Stage 4,Stage 4,Stage 4
JPPOWER.NS,Jaiprakash Power Ventures Limited,Power,Unknown,False,Cash,Stage 4,watchlist,28.62,0.35,0.71,-5.18,-3.41,17.01,Stage 4,Stage 4,Stage 4
ADANIENT.NS,Adani Enterprises Limited,Metals & Mining,Unknown,True,F&O,Stage 2,watchlist,43.4,0.34,-4.61,-0.05,34.42,3036.6,Stage 2,Stage 2,Stage 2
KSL.NS,Kalyani Steels Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,39.07,0.34,-2.79,9.44,18.94,895.95,Stage 2,Stage 2,Stage 2
KPITTECH.NS,KPIT Technologies Limited,Information Technology,Unknown,True,F&O,Stage 4,watchlist,0.9,0.34,4.28,-21.2,-49.58,585.2,Stage 4,Stage 4,Stage 4
KIMS.NS,Krishna Institute of Medical Sciences Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,75.89,0.33,1.5,0.64,29.92,800.45,Stage 2,Stage 2,Stage 2
ADANIGREEN.NS,Adani Green Energy Limited,Power,Unknown,True,F&O,Stage 2,watchlist,43.57,0.33,-8.52,-8.28,36.44,1399.7,Stage 2,Stage 2,Stage 2
IRCON.NS,Ircon International Limited,Construction,Unknown,False,Cash,Stage 4,watchlist,26.12,0.33,-2.44,-5.72,-28.37,126.48,Stage 4,Stage 4,Stage 4
NIVABUPA.NS,Niva Bupa Health Insurance Company Ltd.,Financial Services,Unknown,False,Cash,Stage 2,watchlist,39.61,0.32,0.98,2.51,15.77,86.92,Stage 2,Stage 2,Stage 2
TATATECH.NS,Tata Technologies Ltd.,Information Technology,Unknown,False,Cash,Stage 2,watchlist,27.27,0.32,-4.73,-4.68,12.42,713.3,Stage 2,Stage 2,Stage 2
VSTTILLERS.NS,V.S.T Tillers Tractors Limited,Capital Goods,Unknown,False,Cash,Stage 4,watchlist,27.21,0.31,-1.36,-1.18,-28.55,4430.2,Stage 4,Stage 4,Stage 4
SYMPHONY.NS,Symphony Limited,Consumer Durables,Unknown,False,Cash,Stage 4,watchlist,25.92,0.31,-3.93,0.25,-25.24,678.95,Stage 4,Stage 4,Stage 4
