Company Name,Industry,Symbol,Series,ISIN Code,f&o
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,#N/A
La Opala RG Limited,Consumer Durables,LAOPALA,EQ,INE059D01020,#N/A
Latent View Analytics Limited,Information Technology,LATENTVIEW,EQ,INE0I7C01011,#N/A
Laurus Labs Limited,Healthcare,LAURUSLABS,EQ,INE947Q01028,F&O
Lemon Tree Hotels Limited,Consumer Services,LEMONTREE,EQ,INE970X01018,#N/A
LG Balakrishnan & Bros Limited,Automobile and Auto Components,LGBBROSLTD,EQ,INE337A01034,#N/A
LIC Housing Finance Limited,Financial Services,LICHSGFIN,EQ,INE115A01026,F&O
Life Insurance Corporation Of India,Financial Services,LICI,EQ,INE0J1Y01017,F&O
Linde India Limited,Chemicals,LINDEINDIA,EQ,INE473A01011,#N/A
Lloyds Metals And Energy Limited,Metals & Mining,LLOYDSME,EQ,INE281B01032,#N/A
Macrotech Developers Limited,Realty,LODHA,EQ,INE670K01029,F&O
Larsen & Toubro Limited,Construction,LT,EQ,INE018A01030,F&O
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,F&O
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020,#N/A
LTIMindtree Ltd.,Information Technology,LTM,EQ,INE214T01019,F&O
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,#N/A
Lupin Limited,Healthcare,LUPIN,EQ,INE326A01037,F&O
Lux Industries Limited,Textiles,LUXIND,EQ,INE150G01020,#N/A
Laxmi Organic Industries Limited,Chemicals,LXCHEM,EQ,INE576O01020,#N/A
Mahindra & Mahindra Limited,Automobile and Auto Components,M&M,EQ,INE101A01026,F&O
Mahindra & Mahindra Financial Services Limited,Financial Services,M&MFIN,EQ,INE774D01024,#N/A
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,#N/A
Mahindra Lifespace Developers Limited,Realty,MAHLIFE,EQ,INE813A01018,#N/A
Maharashtra Scooters Limited,Financial Services,MAHSCOOTER,EQ,INE288A01013,#N/A
Maharashtra Seamless Limited,Capital Goods,MAHSEAMLES,EQ,INE271B01025,#N/A
Manappuram Finance Limited,Financial Services,MANAPPURAM,EQ,INE522D01027,F&O
Man Infraconstruction Limited,Construction,MANINFRA,EQ,INE949H01023,#N/A
Mankind Pharma Limited,Healthcare,MANKIND,EQ,INE634S01028,F&O
Vedant Fashions Limited,Consumer Services,MANYAVAR,EQ,INE825V01034,#N/A
C.E. Info Systems Limited,Information Technology,MAPMYINDIA,EQ,INE0BV301023,#N/A
Marico Limited,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,F&O
Marksans Pharma Limited,Healthcare,MARKSANS,EQ,INE750C01026,#N/A
Maruti Suzuki India Limited,Automobile and Auto Components,MARUTI,EQ,INE585B01010,F&O
MAS Financial Services Limited,Financial Services,MASFIN,EQ,INE348L01012,#N/A
Mastek Limited,Information Technology,MASTEK,EQ,INE759A01021,#N/A
Max Healthcare Institute Limited,Healthcare,MAXHEALTH,EQ,INE027H01010,F&O
Mazagon Dock Shipbuilders Limited,Capital Goods,MAZDOCK,EQ,INE249Z01012,F&O
Multi Commodity Exchange of India Limited,Financial Services,MCX,EQ,INE745G01035,F&O
Global Health Limited,Healthcare,MEDANTA,EQ,INE474Q01031,#N/A
Medplus Health Services Limited,Consumer Services,MEDPLUS,EQ,INE804L01022,#N/A
Metro Brands Limited,Consumer Durables,METROBRAND,EQ,INE317I01021,#N/A
Metropolis Healthcare Limited,Healthcare,METROPOLIS,EQ,INE112L01020,#N/A
Max Financial Services Limited,Financial Services,MFSL,EQ,INE180A01020,F&O
Mahanagar Gas Limited,"Oil, Gas & Consumable Fuels",MGL,EQ,INE002S01010,#N/A
Mahindra Holidays & Resorts India Limited,Consumer Services,MHRIL,EQ,INE998I01010,#N/A
Mishra Dhatu Nigam Limited,Capital Goods,MIDHANI,EQ,INE099Z01011,#N/A
Minda Corporation Limited,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,#N/A
MMTC Limited,Services,MMTC,EQ,INE123F01029,#N/A
Samvardhana Motherson International Limited,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,F&O
Motilal Oswal Financial Services Limited,Financial Services,MOTILALOFS,EQ,INE338I01027,F&O
MphasiS Limited,Information Technology,MPHASIS,EQ,INE356A01018,F&O
MRF Limited,Automobile and Auto Components,MRF,EQ,INE883A01011,#N/A
Mangalore Refinery and Petrochemicals Limited,"Oil, Gas & Consumable Fuels",MRPL,EQ,INE103A01014,#N/A
Mstc Limited,Services,MSTCLTD,EQ,INE255X01014,#N/A
